obsnme,obsval,weight,obgnme,lower_bound,upper_bound
actet_mon:2001_1:84012,0.0125500001013278,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84017,0.0117499995976686,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84023,0.0126000000163912,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84032,0.0116999996826052,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84038,0.0141000002622604,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84124,0.0127999996766448,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84148,0.0118499994277954,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:84165,0.0127999996766448,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:85114,0.0108500001952052,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_1:85116,0.0131999999284744,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84012,0.0141500001773238,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84017,0.0137000000104308,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84023,0.0154999997466802,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84032,0.0127499997615814,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84038,0.0165999997407197,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84124,0.0168000012636184,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84148,0.0140499994158744,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:84165,0.0156999994069337,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:85114,0.0111499996855854,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_2:85116,0.0153999999165534,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_3:84012,0.0338499993085861,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_3:84017,0.0238000005483627,12859.265415737325,actet_mon,0,100000000000.0
actet_mon:2001_3:84023,0.0307500008493661,12859.265415737325,actet_mon,0,100000000000.0
