parname parval1 parubnd parlbnd
emis_noppt:hru_5643 0.757 1.0 0.757
emis_noppt:hru_5678 0.757 1.0 0.757
emis_noppt:hru_5679 0.757 1.0 0.757
emis_noppt:hru_5686 0.757 1.0 0.757
emis_noppt:hru_5690 0.757 1.0 0.757
emis_noppt:hru_5693 0.757 1.0 0.757
emis_noppt:hru_5697 0.757 1.0 0.757
emis_noppt:hru_5703 0.757 1.0 0.757
emis_noppt:hru_5728 0.757 1.0 0.757
emis_noppt:hru_7128 0.757 1.0 0.757
emis_noppt:hru_7156 0.757 1.0 0.757
emis_noppt:hru_7157 0.757 1.0 0.757
fastcoef_lin:hru_5621 0.01 0.012 0.008
fastcoef_lin:hru_5625 0.010001 0.0120012 0.008000799999999999
fastcoef_lin:hru_5628 0.01 0.012 0.008
fastcoef_lin:hru_5635 0.010047 0.0120564 0.0080376
fastcoef_lin:hru_5637 0.01 0.012 0.008
fastcoef_lin:hru_5643 0.01 0.012 0.008
fastcoef_lin:hru_5678 0.010001 0.0120012 0.008000799999999999
fastcoef_lin:hru_5679 0.010001 0.0120012 0.008000799999999999
fastcoef_lin:hru_5686 0.010006 0.012007199999999999 0.0080048
fastcoef_lin:hru_5690 0.01 0.012 0.008
fastcoef_lin:hru_5693 0.010049 0.012058800000000001 0.0080392
fastcoef_lin:hru_5697 0.01 0.012 0.008
fastcoef_lin:hru_5703 0.01 0.012 0.008
fastcoef_lin:hru_5728 0.010007 0.0120084 0.0080056
fastcoef_lin:hru_7128 0.01 0.012 0.008
fastcoef_lin:hru_7156 0.010041 0.0120492 0.0080328
fastcoef_lin:hru_7157 0.010018 0.0120216 0.008014400000000001
freeh2o_cap:hru_5621 0.05 0.1 0.01
